X,Y,Z
320977.383,4168146.951,2945.538
320977.13,4168146.422,2945.621
320977.143,4168146.443,2945.624
320977.148,4168146.455,2945.619
320977.208,4168146.559,2945.622
320977.208,4168146.573,2945.603
320977.221,4168146.599,2945.597
320977.236,4168146.622,2945.604
320977.237,4168146.63,2945.595
320977.252,4168146.658,2945.591
320977.259,4168146.679,2945.58
320977.27,4168146.697,2945.582
320977.278,4168146.732,2945.552
320977.398,4168146.959,2945.532
320977.422,4168146.996,2945.539
320977.034,4168146.245,2945.591
320977.137,4168146.406,2945.624
320977.208,4168146.549,2945.6
320977.223,4168146.572,2945.606
320977.267,4168146.671,2945.575
320977.349,4168146.835,2945.549
320977.399,4168146.932,2945.539
320977.419,4168146.971,2945.532
320977.073,4168146.288,2945.597
320977.109,4168146.347,2945.603
320977.14,4168146.388,2945.624
320977.147,4168146.402,2945.622
320977.161,4168146.425,2945.626
320977.174,4168146.459,2945.61
320977.183,4168146.475,2945.61
320977.21,4168146.518,2945.618
320977.235,4168146.565,2945.615
320977.244,4168146.581,2945.615
320977.257,4168146.607,2945.609
320977.251,4168146.608,2945.593
320977.284,4168146.689,2945.561
320977.303,4168146.722,2945.562
320977.365,4168146.833,2945.563
320977.4,4168146.914,2945.537
320977.409,4168146.943,2945.5190000000002
320977.051,4168146.226,2945.59
320977.089,4168146.296,2945.589
320977.139,4168146.371,2945.609
320977.142,4168146.381,2945.603
320977.159,4168146.407,2945.61
320977.21,4168146.488,2945.622
320977.269,4168146.625,2945.579
320977.306,4168146.71,2945.552
320977.345,4168146.784,2945.546
320977.372,4168146.832,2945.547
320977.393,4168146.879,2945.533
320977.407,4168146.907,2945.53
320977.421,4168146.934,2945.527
320977.443,4168146.982,2945.514
320977.094,4168146.278,2945.591
320977.143,4168146.352,2945.61
320977.15,4168146.367,2945.608
320977.178,4168146.411,2945.617
320977.193,4168146.447,2945.603
320977.22,4168146.49,2945.611
320977.24,4168146.519,2945.622
320977.25,4168146.549,2945.603
320977.274,4168146.595,2945.601
320977.273,4168146.6,2945.59
320977.29,4168146.639,2945.58
320977.31,4168146.687,2945.563
320977.324,4168146.721,2945.55
320977.345,4168146.756,2945.553
320977.379,4168146.817,2945.552
320977.406,4168146.878,2945.535
320977.425,4168146.918,2945.529
320977.429,4168146.928,2945.524
320977.428,4168146.933,2945.513
320977.449,4168146.968,2945.518
320977.002,4168146.121,2945.549
320977.079,4168146.227,2945.594
320977.131,4168146.312,2945.606
320977.139,4168146.328,2945.605
320977.161,4168146.366,2945.607
320977.167,4168146.38,2945.604
320977.174,4168146.394,2945.601
320977.187,4168146.415,2945.605
320977.23,4168146.489,2945.61
320977.267,4168146.549,2945.62
320977.253,4168146.547,2945.586
320977.283,4168146.586,2945.607
320977.279,4168146.589,2945.595
320977.273,4168146.588,2945.578
320977.294,4168146.624,2945.581
320977.315,4168146.68,2945.557
320977.323,4168146.695,2945.556
320977.333,4168146.712,2945.557
320977.355,4168146.748,2945.561
320977.376,4168146.804,2945.538
320977.4,4168146.848,2945.536
320977.438,4168146.913,2945.54
320977.441,4168146.923,2945.534
320977.45,4168146.938,2945.535
320977.453,4168146.948,2945.53
320977.471,4168146.992,2945.513
320977.067,4168146.184,2945.588
320977.075,4168146.2,2945.586
320977.126,4168146.285,2945.598
320977.173,4168146.364,2945.606
320977.252,4168146.498,2945.619
320977.258,4168146.511,2945.616
320977.271,4168146.545,2945.601
320977.296,4168146.605,2945.579
320977.307,4168146.637,2945.563
320977.355,4168146.741,2945.539
320977.419,4168146.854,2945.543
320977.428,4168146.889,2945.516
320977.009,4168146.081,2945.5480000000002
320977.128,4168146.256,2945.607
320977.163,4168146.329,2945.593
320977.172,4168146.346,2945.592
320977.196,4168146.386,2945.597
320977.219,4168146.425,2945.601
320977.244,4168146.466,2945.608
320977.264,4168146.495,2945.619
320977.28,4168146.538,2945.597
320977.302,4168146.57,2945.611
